customer_id,gender,date_of_birth,state,city,income_band,risk_segment,customer_since,source_updated_at,dw_updated_at
CUST000022,Female,1992-03-29,Negeri Sembilan,Seremban,>RM15k,High,2022-10-06,2026-08-01,2026-08-14 00:26:12.005687
CUST000023,Male,2002-07-23,Melaka,Melaka City,RM10k-15k,Low,2019-05-23,2026-08-01,2026-08-14 00:26:12.005687
CUST000024,Male,1989-06-16,Johor,Johor Bahru,RM6k-10k,Medium,2018-12-06,2026-08-01,2026-08-14 00:26:12.005687
CUST000025,Male,2000-02-02,Perak,Ipoh,RM10k-15k,Low,2022-05-19,2026-08-01,2026-08-14 00:26:12.005687
CUST000026,Female,1955-07-01,Johor,Muar,RM6k-10k,Low,2021-06-14,2026-08-01,2026-08-14 00:26:12.005687
CUST000027,Female,1963-05-11,Sabah,Sandakan,RM3k-6k,Medium,2022-11-13,2026-08-01,2026-08-14 00:26:12.005687
CUST000028,Female,1985-09-04,Sarawak,Miri,RM3k-6k,Medium,2023-05-04,2026-08-01,2026-08-14 00:26:12.005687
CUST000029,Female,1981-06-27,Kuala Lumpur,Kuala Lumpur,RM6k-10k,Medium,2019-07-01,2026-08-01,2026-08-14 00:26:12.005687
CUST000030,Male,1960-11-26,Kuala Lumpur,Kuala Lumpur,RM6k-10k,Medium,2023-12-11,2026-08-01,2026-08-14 00:26:12.005687
CUST000031,Male,1990-03-13,Selangor,Petaling Jaya,RM10k-15k,High,2025-12-05,2026-08-01,2026-08-14 00:26:12.005687
CUST000032,Male,1957-11-15,Melaka,Melaka City,RM3k-6k,Medium,2020-08-05,2026-08-01,2026-08-14 00:26:12.005687
CUST000033,Female,2003-07-18,Selangor,Shah Alam,<RM3k,Low,2025-06-05,2026-08-01,2026-08-14 00:26:12.005687
CUST000034,Female,1962-08-31,Melaka,Melaka City,RM3k-6k,Medium,2025-06-04,2026-08-01,2026-08-14 00:26:12.005687
CUST000035,Female,1976-10-29,Johor,Batu Pahat,RM10k-15k,Medium,2021-05-07,2026-08-01,2026-08-14 00:26:12.005687
CUST000036,Female,1995-05-04,Selangor,Shah Alam,<RM3k,Low,2024-05-12,2026-08-01,2026-08-14 00:26:12.005687
CUST000037,Female,1980-03-09,Melaka,Melaka City,RM10k-15k,Medium,2025-06-16,2026-08-01,2026-08-14 00:26:12.005687
CUST000038,Female,1991-06-12,Penang,Bayan Lepas,<RM3k,Medium,2024-10-23,2026-08-01,2026-08-14 00:26:12.005687
CUST000039,Female,1989-06-23,Selangor,Subang Jaya,RM3k-6k,Low,2021-02-09,2026-08-01,2026-08-14 00:26:12.005687
CUST000040,Male,2001-06-27,Kuala Lumpur,Kuala Lumpur,RM10k-15k,Low,2023-05-01,2026-08-01,2026-08-14 00:26:12.005687
CUST000041,Female,1977-09-24,Kuala Lumpur,Kuala Lumpur,RM3k-6k,Medium,2022-09-27,2026-08-01,2026-08-14 00:26:12.005687
CUST000042,Male,2002-12-19,Kuala Lumpur,Kuala Lumpur,RM10k-15k,Low,2021-04-23,2026-08-01,2026-08-14 00:26:12.005687
CUST000043,Male,1980-04-26,Selangor,Klang,<RM3k,Medium,2023-02-11,2026-08-01,2026-08-14 00:26:12.005687
CUST000044,Female,1998-10-08,Penang,George Town,RM6k-10k,Low,2025-06-21,2026-08-01,2026-08-14 00:26:12.005687
CUST000045,Male,1990-11-24,Selangor,Subang Jaya,RM6k-10k,Medium,2018-03-17,2026-08-01,2026-08-14 00:26:12.005687
CUST000046,Male,1961-07-06,Kuala Lumpur,Kuala Lumpur,>RM15k,Medium,2025-03-18,2026-08-01,2026-08-14 00:26:12.005687
CUST000047,Female,1986-07-15,Selangor,Petaling Jaya,<RM3k,Low,2020-12-11,2026-08-01,2026-08-14 00:26:12.005687
CUST000048,Female,1998-01-14,Selangor,Shah Alam,RM3k-6k,Low,2024-08-16,2026-08-01,2026-08-14 00:26:12.005687
CUST000049,Male,1961-04-16,Negeri Sembilan,Seremban,RM6k-10k,Low,2018-11-11,2026-08-01,2026-08-14 00:26:12.005687
CUST000050,Female,1996-02-03,Selangor,Petaling Jaya,>RM15k,Low,2025-02-15,2026-08-01,2026-08-14 00:26:12.005687
CUST000051,Female,1960-03-01,Kuala Lumpur,Kuala Lumpur,RM10k-15k,Low,2021-08-01,2026-08-01,2026-08-14 00:26:12.005687
CUST000052,Female,1997-09-05,Penang,George Town,RM10k-15k,Low,2025-05-01,2026-08-01,2026-08-14 00:26:12.005687
CUST000053,Male,1993-08-27,Melaka,Melaka City,RM6k-10k,Medium,2021-06-03,2026-08-01,2026-08-14 00:26:12.005687
CUST000054,Male,1962-06-07,Sabah,Kota Kinabalu,RM6k-10k,Medium,2023-12-21,2026-08-01,2026-08-14 00:26:12.005687
CUST000055,Male,1990-08-05,Sarawak,Miri,RM10k-15k,Low,2022-10-08,2026-08-01,2026-08-14 00:26:12.005687
