month,premium_collected,approved_claim_amount,loss_ratio,premium_transactions,failed_transactions,claim_count,avg_settlement_days,fraud_flagged_claims
2024-01-01,4125462.85,2790410.07,0.6763871525348968,6013,290,1392,13.38107869142352,42
2024-02-01,2190337.91,1340241.21,0.6118878753278758,2352,126,538,13.387173396674584,20
2024-03-01,2099206.0,1087359.92,0.5179862862434654,2132,96,442,13.755681818181818,18
2024-04-01,1639740.68,937520.38,0.5717491743877453,1823,109,386,13.59235668789809,14
2024-05-01,1436816.75,879383.11,0.6120356753914513,1614,79,362,13.955479452054794,15
2024-06-01,1322656.83,771461.37,0.5832664622462956,1488,72,323,13.333333333333334,9
2024-07-01,1394170.53,838165.5,0.6011929544945983,1443,83,318,13.11654135338346,11
2024-08-01,1225739.48,738023.16,0.602104421079755,1359,73,279,13.315068493150685,13
2024-09-01,1133999.01,740477.37,0.6529788504841817,1252,70,261,13.076190476190476,6
2024-10-01,1175655.8,589529.58,0.5014474304469047,1303,66,269,12.961904761904762,13
2024-11-01,1070339.15,594235.09,0.555183924646688,1158,59,276,13.287037037037036,8
2024-12-01,1170612.92,590179.32,0.5041626569438512,1292,60,232,13.327868852459016,10
2025-01-01,1110530.72,657871.97,0.5923942113010615,1225,77,300,13.715481171548117,7
2025-02-01,1038527.76,671973.85,0.64704466831007,1176,55,255,13.722222222222221,7
2025-03-01,1170596.52,716522.13,0.6121000000922606,1308,54,298,13.4149377593361,7
2025-04-01,1129347.2,566005.13,0.5011790262551676,1237,65,272,11.703703703703704,8
2025-05-01,1114548.68,666486.21,0.5979875280099923,1281,68,256,13.633333333333333,6
2025-06-01,1178540.52,631752.34,0.536046346543944,1296,68,296,13.22689075630252,12
2025-07-01,1104579.73,693069.54,0.6274508948303804,1320,76,289,12.412017167381974,2
2025-08-01,1182428.29,928216.52,0.7850087213322678,1309,70,329,13.611940298507463,8
2025-09-01,1055959.21,571996.65,0.5416844179047409,1247,65,264,13.440909090909091,9
2025-10-01,1107543.6,760090.35,0.6862848108191858,1268,63,282,14.981900452488688,12
2025-11-01,1257717.66,643683.24,0.5117867550655208,1335,59,297,13.381147540983607,4
2025-12-01,1240386.85,743287.45,0.5992384150154446,1442,88,309,13.795275590551181,8
2026-01-01,1345883.51,712374.83,0.5292990252923152,1426,71,310,12.722222222222221,8
2026-02-01,1212893.24,878412.47,0.7242290096364953,1443,91,314,13.5,7
2026-03-01,1569027.14,1054418.01,0.6720202494394074,1663,96,392,13.813880126182966,16
2026-04-01,1583690.25,1014476.4,0.6405775371793822,1858,96,430,13.35223880597015,19
2026-05-01,2095942.89,1177009.03,0.5615654107827337,2218,99,465,13.214099216710183,16
2026-06-01,2437382.96,1605336.26,0.6586311163839432,2569,116,608,13.568273092369479,19
2026-07-01,3651306.52,2434345.26,0.6667052592451208,4051,190,956,13.828685258964143,27
