agent_id,agent_name,sales_channel,region,tenure_years,source_updated_at
AGT0001,Agent 001,Agency,Central,2,2026-08-01
AGT0002,Agent 002,Bancassurance,Central,11,2026-08-01
AGT0003,Agent 003,Agency,Central,3,2026-08-01
AGT0004,Agent 004,Digital,Southern,9,2026-08-01
AGT0005,Agent 005,Agency,Central,5,2026-08-01
AGT0006,Agent 006,Digital,Northern,8,2026-08-01
AGT0007,Agent 007,Digital,Southern,1,2026-08-01
AGT0008,Agent 008,Bancassurance,Southern,8,2026-08-01
AGT0009,Agent 009,Digital,Central,1,2026-08-01
AGT0010,Agent 010,Agency,Northern,13,2026-08-01
AGT0011,Agent 011,Bancassurance,Northern,11,2026-08-01
AGT0012,Agent 012,Bancassurance,East Malaysia,14,2026-08-01
AGT0013,Agent 013,Agency,Northern,10,2026-08-01
AGT0014,Agent 014,Agency,Northern,15,2026-08-01
AGT0015,Agent 015,Bancassurance,Central,4,2026-08-01
AGT0016,Agent 016,Bancassurance,Southern,1,2026-08-01
AGT0017,Agent 017,Bancassurance,Southern,14,2026-08-01
AGT0018,Agent 018,Agency,Southern,10,2026-08-01
AGT0019,Agent 019,Agency,Southern,11,2026-08-01
AGT0020,Agent 020,Broker,East Malaysia,5,2026-08-01
AGT0021,Agent 021,Agency,East Malaysia,6,2026-08-01
AGT0022,Agent 022,Broker,Central,11,2026-08-01
AGT0023,Agent 023,Digital,Central,7,2026-08-01
AGT0024,Agent 024,Bancassurance,East Malaysia,2,2026-08-01
AGT0025,Agent 025,Agency,Southern,5,2026-08-01
AGT0026,Agent 026,Digital,East Malaysia,6,2026-08-01
AGT0027,Agent 027,Broker,Northern,13,2026-08-01
AGT0028,Agent 028,Digital,East Malaysia,6,2026-08-01
AGT0029,Agent 029,Digital,Central,8,2026-08-01
AGT0030,Agent 030,Bancassurance,Southern,9,2026-08-01
AGT0031,Agent 031,Agency,Northern,3,2026-08-01
AGT0032,Agent 032,Broker,Central,9,2026-08-01
AGT0033,Agent 033,Agency,Central,4,2026-08-01
AGT0034,Agent 034,Bancassurance,Central,14,2026-08-01
AGT0035,Agent 035,Agency,Central,5,2026-08-01
AGT0036,Agent 036,Digital,East Malaysia,5,2026-08-01
AGT0037,Agent 037,Digital,East Malaysia,7,2026-08-01
AGT0038,Agent 038,Bancassurance,East Malaysia,6,2026-08-01
AGT0039,Agent 039,Agency,East Malaysia,9,2026-08-01
AGT0040,Agent 040,Agency,East Malaysia,11,2026-08-01
AGT0041,Agent 041,Agency,East Malaysia,15,2026-08-01
AGT0042,Agent 042,Broker,Central,14,2026-08-01
AGT0043,Agent 043,Agency,Central,4,2026-08-01
AGT0044,Agent 044,Broker,East Malaysia,10,2026-08-01
AGT0045,Agent 045,Agency,Northern,5,2026-08-01
AGT0046,Agent 046,Digital,Southern,13,2026-08-01
AGT0047,Agent 047,Bancassurance,Northern,1,2026-08-01
AGT0048,Agent 048,Digital,Central,15,2026-08-01
AGT0049,Agent 049,Bancassurance,Central,6,2026-08-01
AGT0050,Agent 050,Digital,Southern,12,2026-08-01
AGT0051,Agent 051,Digital,Northern,11,2026-08-01
AGT0052,Agent 052,Agency,Central,6,2026-08-01
AGT0053,Agent 053,Broker,Southern,15,2026-08-01
AGT0054,Agent 054,Bancassurance,Northern,5,2026-08-01
AGT0055,Agent 055,Agency,Northern,12,2026-08-01
AGT0056,Agent 056,Agency,Southern,14,2026-08-01
AGT0057,Agent 057,Bancassurance,Northern,2,2026-08-01
AGT0058,Agent 058,Digital,East Malaysia,14,2026-08-01
AGT0059,Agent 059,Digital,Northern,14,2026-08-01
AGT0060,Agent 060,Agency,East Malaysia,6,2026-08-01
AGT0061,Agent 061,Digital,East Malaysia,13,2026-08-01
AGT0062,Agent 062,Agency,East Malaysia,1,2026-08-01
AGT0063,Agent 063,Agency,Southern,3,2026-08-01
AGT0064,Agent 064,Digital,Southern,12,2026-08-01
AGT0065,Agent 065,Agency,Northern,15,2026-08-01
AGT0066,Agent 066,Agency,Northern,2,2026-08-01
AGT0067,Agent 067,Agency,Central,11,2026-08-01
AGT0068,Agent 068,Agency,Central,2,2026-08-01
AGT0069,Agent 069,Agency,Central,12,2026-08-01
AGT0070,Agent 070,Agency,Southern,14,2026-08-01
AGT0071,Agent 071,Bancassurance,Central,7,2026-08-01
AGT0072,Agent 072,Broker,Southern,2,2026-08-01
AGT0073,Agent 073,Agency,Central,4,2026-08-01
AGT0074,Agent 074,Digital,Central,8,2026-08-01
AGT0075,Agent 075,Bancassurance,Northern,12,2026-08-01
AGT0076,Agent 076,Agency,East Malaysia,8,2026-08-01
AGT0077,Agent 077,Agency,Central,8,2026-08-01
AGT0078,Agent 078,Agency,East Malaysia,10,2026-08-01
AGT0079,Agent 079,Digital,Central,15,2026-08-01
AGT0080,Agent 080,Digital,Northern,12,2026-08-01
