policy_id,customer_id,agent_id,product_type,policy_start_date,policy_end_date,annual_premium,sum_insured,payment_frequency,policy_status,renewal_flag,source_updated_at
POL0000001,CUST000921,AGT0065,Medical,2023-11-10,2024-11-02,1842.27,269489.7,Quarterly,Renewed,1,2026-08-01
POL0000002,CUST004465,AGT0005,Life,2023-03-05,2024-03-31,4516.29,1453523.14,Annual,Renewed,1,2026-08-01
POL0000003,CUST002226,AGT0014,Life,2026-05-28,2027-06-05,2589.71,931718.85,Annual,Active,0,2026-08-01
POL0000004,CUST002324,AGT0065,Medical,2025-09-13,2026-08-28,5033.08,352660.25,Monthly,Active,0,2026-08-01
POL0000005,CUST001430,AGT0031,Life,2023-01-31,2024-02-07,6560.91,1012293.84,Semi-Annual,Expired,0,2026-08-01
POL0000006,CUST004048,AGT0013,Life,2023-09-11,2024-08-27,3090.61,1106173.6,Annual,Expired,0,2026-08-01
POL0000007,CUST001184,AGT0012,Life,2024-12-28,2026-01-08,2098.65,721629.69,Monthly,Expired,0,2026-08-01
POL0000008,CUST002237,AGT0065,Medical,2026-03-02,2027-02-18,1619.53,57737.28,Semi-Annual,Active,0,2026-08-01
POL0000009,CUST002902,AGT0038,Life,2023-10-19,2024-10-13,2223.01,1345745.79,Monthly,Expired,0,2026-08-01
POL0000010,CUST000059,AGT0036,Medical,2024-11-18,2025-11-21,3652.55,302638.66,Monthly,Renewed,1,2026-08-01
POL0000011,CUST004861,AGT0030,Travel,2025-07-13,2025-08-04,201.62,138730.2,Monthly,Renewed,1,2026-08-01
POL0000012,CUST001989,AGT0008,Life,2026-02-20,2027-02-20,2266.94,1131051.95,Monthly,Active,0,2026-08-01
POL0000013,CUST005314,AGT0080,Medical,2025-01-04,2026-01-06,2691.41,388932.52,Annual,Cancelled,0,2026-08-01
POL0000014,CUST003892,AGT0018,Motor,2024-06-29,2025-07-24,2228.84,124406.9,Monthly,Expired,0,2026-08-01
POL0000015,CUST001562,AGT0032,Motor,2023-09-13,2024-09-29,1040.39,173859.03,Monthly,Renewed,1,2026-08-01
POL0000016,CUST003973,AGT0067,Medical,2024-12-19,2025-11-16,1658.89,407439.61,Annual,Renewed,1,2026-08-01
POL0000017,CUST002691,AGT0005,Life,2024-10-23,2025-10-18,1637.67,709664.87,Monthly,Renewed,1,2026-08-01
POL0000018,CUST002920,AGT0047,Travel,2026-03-06,2026-05-21,110.34,55543.97,Annual,Renewed,1,2026-08-01
POL0000019,CUST005058,AGT0042,Home,2025-10-04,2026-09-21,546.26,404099.3,Annual,Active,0,2026-08-01
POL0000020,CUST003847,AGT0058,Life,2024-07-03,2025-06-13,5815.35,354494.84,Annual,Renewed,1,2026-08-01
POL0000021,CUST005933,AGT0073,Life,2024-10-15,2025-10-14,6914.32,433461.72,Annual,Renewed,1,2026-08-01
POL0000022,CUST005569,AGT0008,Life,2023-02-25,2024-02-01,2388.73,327408.69,Annual,Renewed,1,2026-08-01
POL0000023,CUST005100,AGT0030,Medical,2024-10-09,2025-10-12,1764.59,75670.24,Monthly,Renewed,1,2026-08-01
POL0000024,CUST002795,AGT0030,Life,2023-09-28,2024-10-06,2159.16,650312.63,Annual,Expired,0,2026-08-01
POL0000025,CUST002965,AGT0066,Medical,2024-02-28,2025-02-12,1183.93,391691.44,Quarterly,Renewed,1,2026-08-01
POL0000026,CUST005294,AGT0037,Medical,2026-06-20,2027-06-27,4531.24,81162.01,Monthly,Active,0,2026-08-01
POL0000027,CUST005221,AGT0034,Home,2025-06-05,2026-06-19,1065.11,606275.82,Annual,Renewed,1,2026-08-01
POL0000028,CUST002224,AGT0022,Life,2023-09-04,2024-08-17,3115.14,1471716.94,Monthly,Expired,0,2026-08-01
POL0000029,CUST004240,AGT0046,Motor,2024-12-28,2025-12-21,1176.88,92689.77,Monthly,Expired,0,2026-08-01
POL0000030,CUST003597,AGT0050,Medical,2024-08-22,2025-08-25,1733.31,174495.03,Monthly,Renewed,1,2026-08-01
POL0000031,CUST000682,AGT0041,Home,2025-09-11,2026-09-19,465.06,590204.46,Monthly,Active,0,2026-08-01
POL0000032,CUST000741,AGT0050,Motor,2024-01-20,2025-01-24,1999.18,129405.03,Quarterly,Expired,0,2026-08-01
POL0000033,CUST000505,AGT0070,Home,2025-04-19,2026-04-03,1289.28,320491.25,Monthly,Renewed,1,2026-08-01
POL0000034,CUST001538,AGT0069,Home,2025-09-16,2026-08-20,491.19,407228.4,Annual,Active,0,2026-08-01
POL0000035,CUST005618,AGT0046,Life,2025-07-30,2026-07-26,2426.17,1415215.38,Annual,Renewed,1,2026-08-01
POL0000036,CUST001903,AGT0076,Medical,2025-01-25,2026-01-09,4436.82,286996.06,Monthly,Expired,0,2026-08-01
POL0000037,CUST005547,AGT0031,Motor,2023-01-26,2024-01-14,1762.14,177897.48,Quarterly,Expired,0,2026-08-01
POL0000038,CUST002643,AGT0002,Motor,2025-07-24,2026-08-10,1119.97,101418.24,Annual,Active,0,2026-08-01
POL0000039,CUST002751,AGT0062,Medical,2026-06-10,2027-06-02,3736.94,123742.32,Monthly,Active,0,2026-08-01
POL0000040,CUST001536,AGT0062,Travel,2025-04-12,2025-07-10,725.17,123851.47,Monthly,Expired,0,2026-08-01
POL0000041,CUST003971,AGT0005,Home,2025-02-09,2026-02-18,793.07,784205.7,Monthly,Expired,0,2026-08-01
POL0000042,CUST003536,AGT0027,Motor,2024-10-20,2025-09-26,2171.05,24873.11,Monthly,Expired,0,2026-08-01
POL0000043,CUST001829,AGT0022,Medical,2023-04-25,2024-03-30,4530.61,155108.12,Monthly,Renewed,1,2026-08-01
POL0000044,CUST004710,AGT0043,Medical,2026-06-09,2027-06-17,2459.95,252649.88,Annual,Active,0,2026-08-01
POL0000045,CUST004209,AGT0023,Medical,2024-05-03,2025-04-14,4881.7,464139.6,Monthly,Renewed,1,2026-08-01
POL0000046,CUST004267,AGT0060,Medical,2025-07-08,2026-08-03,2691.64,447970.94,Monthly,Active,0,2026-08-01
POL0000047,CUST002678,AGT0046,Home,2024-12-15,2025-12-03,460.12,616018.95,Monthly,Renewed,1,2026-08-01
POL0000048,CUST003884,AGT0070,Medical,2025-06-19,2026-05-17,4180.53,393617.65,Monthly,Renewed,1,2026-08-01
POL0000049,CUST002091,AGT0067,Motor,2023-04-16,2024-03-29,1112.96,43138.13,Monthly,Renewed,1,2026-08-01
POL0000050,CUST005997,AGT0024,Life,2025-06-21,2026-07-11,2396.07,894527.82,Monthly,Renewed,1,2026-08-01
POL0000051,CUST002644,AGT0045,Motor,2024-12-24,2025-11-30,1979.96,145186.6,Semi-Annual,Renewed,1,2026-08-01
POL0000052,CUST001645,AGT0050,Home,2024-09-02,2025-08-28,1060.29,273095.36,Quarterly,Renewed,1,2026-08-01
POL0000053,CUST002734,AGT0037,Home,2025-09-03,2026-09-21,419.13,182806.39,Monthly,Active,0,2026-08-01
POL0000054,CUST005649,AGT0078,Motor,2025-04-19,2026-05-11,2240.68,115980.33,Annual,Expired,0,2026-08-01
POL0000055,CUST005657,AGT0006,Medical,2025-09-15,2026-08-21,1085.36,463890.91,Annual,Active,0,2026-08-01
POL0000056,CUST002134,AGT0074,Travel,2025-03-01,2025-03-08,210.89,146577.98,Semi-Annual,Expired,0,2026-08-01
POL0000057,CUST005310,AGT0078,Medical,2025-10-21,2026-10-28,3628.9,241731.64,Monthly,Active,0,2026-08-01
POL0000058,CUST001835,AGT0030,Medical,2026-03-06,2027-02-12,4231.51,260300.73,Annual,Active,0,2026-08-01
POL0000059,CUST001167,AGT0024,Home,2025-11-29,2026-11-23,983.45,593545.98,Monthly,Cancelled,0,2026-08-01
POL0000060,CUST001330,AGT0004,Motor,2026-07-03,2027-06-06,1613.95,26018.12,Quarterly,Active,0,2026-08-01
POL0000061,CUST001671,AGT0011,Medical,2024-12-04,2025-11-09,4947.41,294128.64,Annual,Expired,0,2026-08-01
